PropertiesSK,PropertyReference,PostCode,PropertyType,PropertySubType,PatchCode,PatchName,AppointmentPatchCode,AppointmentPatchName,AppointmentRegionName,UPRN
5274,T000274,B32,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10050559278
5275,T000275,B90,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10014994527
5276,T000276,B45,LCHO,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10023044889
5277,T000277,B32,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10062163160
5278,T000278,B93,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10088831486
5279,T000279,B29,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10075679047
5280,T000280,B90,LCHO,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10014391105
5281,T000281,B48,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10041690501
5282,T000282,B48,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10083076970
5283,T000283,B48,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10035475673
5284,T000284,B18,LCHO,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10022304198
5285,T000285,B31,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10016788532
5286,T000286,B47,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10085776373
5287,T000287,B31,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10088703005
5288,T000288,B31,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10054098516
5289,T000289,B29,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10047215199
5290,T000290,B29,LCHO,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10033420607
5291,T000291,B18,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10027690330
5292,T000292,B15,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10089034501
5293,T000293,B47,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10017032877
5294,T000294,B29,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10018530615
5295,T000295,B96,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10078885632
5296,T000296,B18,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10092558242
5297,T000297,B16,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10071477426
5298,T000298,B15,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10063904155
5299,T000299,B90,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10069533928
5300,T000300,B17,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10091644298
