JobTicketReference,JobTicketLineReference,WorksOrderReference,AppointmentReference,PropertiesSK,EmployeesSK,PatchCode,JobSORCode,NoAccess,FollowOn,FollowOnDescription,FirstTimeFix,SecondTimeFix,AccessedVisitNumber,ActualStartDate,ActualEndDate,ActualDurationMins,JobInvoicedCost,VisitOutcome
JT11000512,JT11000512-1,WO700439,AP9000512,5133,1007,CSP2,PCELEC,N,Y,Asbestos found,N,N,1,2026-03-30T12:11:00,2026-03-30T13:09:00,58,152.08,Completed
JT11000513,JT11000513-1,WO700439,AP9000513,5133,1007,CSP2,PCELEC,N,N,,Y,Y,2,2026-04-01T12:07:00,2026-04-01T13:23:00,76,152.08,Completed
JT11000514,JT11000514-1,WO700440,AP9000514,5133,1006,CSP2,PCFENCE,N,Y,Follow on planned inspection/measure,N,N,1,2026-03-30T07:57:00,2026-03-30T09:30:00,93,136.15,Completed
JT11000515,JT11000515-1,WO700440,AP9000515,5133,1006,CSP2,PCFENCE,N,N,,Y,Y,2,2026-04-01T08:12:00,2026-04-01T09:51:00,99,136.15,Completed
JT11000516,JT11000516-1,WO700441,AP9000516,5284,1014,CSP4,PCGROUND,N,N,,Y,N,1,2026-03-30T08:01:00,2026-03-30T08:34:00,33,488.57,Completed
JT11000517,JT11000517-1,WO700442,AP9000517,5258,1013,CSP4,PCCARP,N,Y,Scaffolding required,N,N,1,2026-03-30T12:17:00,2026-03-30T13:36:00,79,81.22,Completed
JT11000518,JT11000518-1,WO700442,AP9000518,5258,1013,CSP4,PCCARP,N,N,,Y,Y,2,2026-04-01T08:08:00,2026-04-01T08:58:00,50,81.22,Completed
JT11000519,JT11000519-1,WO700443,AP9000519,5244,1014,CSP4,PCVINYL,N,N,,Y,N,1,2026-03-30T12:15:00,2026-03-30T12:58:00,43,237.33,Completed
JT11000520,JT11000520-1,WO700444,AP9000520,5284,1013,CSP4,PCBRICK,N,Y,Warning risk / Warning vulnerable,N,N,1,2026-03-30T08:14:00,2026-03-30T09:38:00,84,190.97,Completed
JT11000521,JT11000521-1,WO700444,AP9000521,5284,1013,CSP4,PCBRICK,N,N,,Y,Y,2,2026-04-01T12:20:00,2026-04-01T13:55:00,95,190.97,Completed
JT11000522,JT11000522-1,WO700445,AP9000522,5247,1014,CSP4,PCGROUND,N,N,,Y,N,1,2026-03-30T12:02:00,2026-03-30T14:19:00,137,379.74,Completed
JT11000523,JT11000523-1,WO700446,AP9000523,5233,1014,CSP4,PCCARP,N,N,,Y,N,1,2026-03-30T08:03:00,2026-03-30T09:23:00,80,205.97,Completed
JT11000524,JT11000524-1,WO700447,AP9000524,5204,1013,CSP4,PCVINYL,N,N,,Y,N,1,2026-03-30T12:01:00,2026-03-30T13:35:00,94,242.93,Completed
JT11000525,JT11000525-1,WO700448,AP9000525,5250,1011,CSP4,PCBRICK,N,N,,Y,N,1,2026-03-30T08:00:00,2026-03-30T10:07:00,127,298.19,Completed
JT11000526,JT11000526-1,WO700449,AP9000526,5204,1013,CSP4,PCPLUMB,N,Y,Previously done,N,N,1,2026-03-30T07:52:00,2026-03-30T08:40:00,48,101.74,Completed
JT11000527,JT11000527-1,WO700449,AP9000527,5204,1013,CSP4,PCPLUMB,N,N,,Y,Y,2,2026-04-01T08:14:00,2026-04-01T09:17:00,63,101.74,Completed
JT11000528,JT11000528-1,WO700450,AP9000528,5235,1013,CSP4,PCGROUND,Y,N,,N,N,1,2026-03-30T08:02:00,2026-03-30T09:25:00,83,192.94,No Access
JT11000529,JT11000529-1,WO700450,AP9000529,5235,1013,CSP4,PCGROUND,N,N,,Y,Y,2,2026-04-01T11:59:00,2026-04-01T13:22:00,83,192.94,Completed
JT11000530,JT11000530-1,WO700451,AP9000530,5296,1012,CSP4,PCVINYL,Y,N,,N,N,1,2026-03-30T08:04:00,2026-03-30T09:05:00,61,97.71,No Access
JT11000531,JT11000531-1,WO700451,AP9000531,5296,1012,CSP4,PCVINYL,N,N,,Y,Y,2,2026-04-01T11:54:00,2026-04-01T13:11:00,77,97.71,Completed
JT11000532,JT11000532-1,WO700452,AP9000532,5212,1011,CSP4,PCELEC,N,N,,Y,N,1,2026-03-30T11:55:00,2026-03-30T13:53:00,118,260.60,Completed
JT11000533,JT11000533-1,WO700453,AP9000533,5218,1013,CSP4,PCFENCE,N,N,,Y,N,1,2026-03-30T08:11:00,2026-03-30T10:00:00,109,222.57,Completed
JT11000534,JT11000534-1,WO700454,AP9000534,5202,1012,CSP4,PCVINYL,N,N,,Y,N,1,2026-03-30T08:20:00,2026-03-30T09:24:00,64,212.36,Completed
JT11000535,JT11000535-1,WO700455,AP9000535,5256,1011,CSP4,PCVINYL,N,N,,Y,N,1,2026-03-30T12:14:00,2026-03-30T13:20:00,66,244.66,Completed
JT11000536,JT11000536-1,WO700456,AP9000536,5255,1011,CSP4,PCTILE,N,N,,Y,N,1,2026-03-30T12:08:00,2026-03-30T13:42:00,94,119.08,Completed
JT11000537,JT11000537-1,WO700457,AP9000537,5296,1014,CSP4,PCGROUND,N,N,,Y,N,1,2026-03-30T07:53:00,2026-03-30T09:44:00,111,465.61,Completed
JT11000538,JT11000538-1,WO700458,AP9000538,5280,1011,CSP4,PCELEC,N,N,,Y,N,1,2026-03-30T12:20:00,2026-03-30T13:25:00,65,284.28,Completed
JT11000539,JT11000539-1,WO700459,AP9000539,5203,1013,CSP4,PCPLAST,N,N,,Y,N,1,2026-03-30T07:54:00,2026-03-30T09:18:00,84,143.36,Completed
JT11000540,JT11000540-1,WO700460,AP9000540,5220,1014,CSP4,PCPLUMB,N,N,,Y,N,1,2026-03-30T08:19:00,2026-03-30T09:29:00,70,190.53,Completed
JT11000541,JT11000541-1,WO700461,AP9000541,5290,1013,CSP4,PCPLUMB,N,Y,Inspection required,N,N,1,2026-03-30T11:55:00,2026-03-30T12:27:00,32,132.88,Completed
JT11000542,JT11000542-1,WO700461,AP9000542,5290,1013,CSP4,PCPLUMB,N,N,,Y,Y,2,2026-04-01T12:13:00,2026-04-01T14:18:00,125,132.88,Completed
JT11000543,JT11000543-1,WO700462,AP9000543,5261,1014,CSP4,PCPLAST,N,Y,Scaffolding required,N,N,1,2026-03-30T08:15:00,2026-03-30T09:27:00,72,91.91,Completed
JT11000544,JT11000544-1,WO700462,AP9000544,5261,1014,CSP4,PCPLAST,N,N,,Y,Y,2,2026-04-01T08:18:00,2026-04-01T10:21:00,123,91.91,Completed
JT11000545,JT11000545-1,WO700463,AP9000545,5032,1001,CSP1,PCVINYL,N,N,,Y,N,1,2026-03-31T08:05:00,2026-03-31T09:42:00,97,281.30,Completed
JT11000546,JT11000546-1,WO700464,AP9000546,5086,1001,CSP1,PCTILE,Y,N,,N,N,1,2026-03-31T08:06:00,2026-03-31T10:21:00,135,76.70,No Access
JT11000547,JT11000547-1,WO700464,AP9000547,5086,1001,CSP1,PCTILE,N,N,,Y,Y,2,2026-04-02T12:15:00,2026-04-02T13:07:00,52,76.70,Completed
JT11000548,JT11000548-1,WO700466,AP9000548,5086,1004,CSP1,PCTILE,N,N,,Y,N,1,2026-03-31T12:04:00,2026-03-31T13:53:00,109,175.56,Completed
JT11000549,JT11000549-1,WO700467,AP9000549,5016,1004,CSP1,PCVINYL,N,N,,Y,N,1,2026-03-31T12:11:00,2026-03-31T13:18:00,67,190.41,Completed
JT11000550,JT11000550-1,WO700468,AP9000550,5020,1001,CSP1,PCFENCE,N,N,,Y,N,1,2026-03-31T12:19:00,2026-03-31T13:48:00,89,318.02,Completed
JT11000551,JT11000551-1,WO700469,AP9000551,5098,1001,CSP1,PCPLUMB,N,N,,Y,N,1,2026-03-31T08:12:00,2026-03-31T09:18:00,66,235.34,Completed
JT11000552,JT11000552-1,WO700470,AP9000552,5041,1001,CSP1,PCGROUND,N,N,,Y,N,1,2026-03-31T08:19:00,2026-03-31T09:45:00,86,394.75,Completed
JT11000553,JT11000553-1,WO700471,AP9000553,5093,1003,CSP1,PCPLAST,N,Y,Warning risk / Warning vulnerable,N,N,1,2026-03-31T08:06:00,2026-03-31T09:27:00,81,91.84,Completed
JT11000554,JT11000554-1,WO700471,AP9000554,5093,1003,CSP1,PCPLAST,N,N,,Y,Y,2,2026-04-02T08:05:00,2026-04-02T09:19:00,74,91.84,Completed
JT11000555,JT11000555-1,WO700472,AP9000555,5073,1002,CSP1,PCPLAST,Y,N,,N,N,1,2026-03-31T07:54:00,2026-03-31T09:23:00,89,133.53,No Access
JT11000556,JT11000556-1,WO700472,AP9000556,5073,1002,CSP1,PCPLAST,N,N,,Y,Y,2,2026-04-02T12:11:00,2026-04-02T13:32:00,81,133.53,Completed
JT11000557,JT11000557-1,WO700473,AP9000557,5071,1002,CSP1,PCPLAST,Y,N,,N,N,1,2026-03-31T08:03:00,2026-03-31T09:38:00,95,79.62,No Access
JT11000558,JT11000558-1,WO700473,AP9000558,5071,1002,CSP1,PCPLAST,N,N,,Y,Y,2,2026-04-02T08:12:00,2026-04-02T09:30:00,78,79.62,Completed
JT11000559,JT11000559-1,WO700474,AP9000559,5100,1002,CSP1,PCGROUND,Y,N,,N,N,1,2026-03-31T12:06:00,2026-03-31T13:34:00,88,181.01,No Access
JT11000560,JT11000560-1,WO700474,AP9000560,5100,1002,CSP1,PCGROUND,N,N,,Y,Y,2,2026-04-02T11:55:00,2026-04-02T12:33:00,38,181.01,Completed
JT11000561,JT11000561-1,WO700475,AP9000561,5042,1002,CSP1,PCCARP,N,Y,Re-directed work,N,N,1,2026-03-31T07:56:00,2026-03-31T08:54:00,58,112.83,Completed
JT11000562,JT11000562-1,WO700475,AP9000562,5042,1002,CSP1,PCCARP,N,N,,Y,Y,2,2026-04-02T08:06:00,2026-04-02T09:04:00,58,112.83,Completed
JT11000563,JT11000563-1,WO700477,AP9000563,5017,1002,CSP1,PCPLAST,N,N,,Y,N,1,2026-03-31T07:50:00,2026-03-31T08:52:00,62,208.55,Completed
JT11000564,JT11000564-1,WO700478,AP9000564,5050,1004,CSP1,PCELEC,N,N,,Y,N,1,2026-03-31T08:01:00,2026-03-31T09:06:00,65,270.03,Completed
JT11000565,JT11000565-1,WO700479,AP9000565,5002,1003,CSP1,PCTILE,N,N,,Y,N,1,2026-03-31T08:01:00,2026-03-31T09:39:00,98,168.19,Completed
JT11000566,JT11000566-1,WO700481,AP9000566,5010,1002,CSP1,PCBRICK,N,N,,Y,N,1,2026-03-31T07:55:00,2026-03-31T08:26:00,31,373.05,Completed
JT11000567,JT11000567-1,WO700482,AP9000567,5025,1004,CSP1,PCTILE,N,N,,Y,N,1,2026-03-31T08:12:00,2026-03-31T08:47:00,35,148.07,Completed
JT11000568,JT11000568-1,WO700483,AP9000568,5096,1002,CSP1,PCCARP,N,N,,Y,N,1,2026-03-31T07:59:00,2026-03-31T08:38:00,39,192.29,Completed
JT11000569,JT11000569-1,WO700484,AP9000569,5022,1004,CSP1,PCPLAST,N,N,,Y,N,1,2026-03-31T08:12:00,2026-03-31T09:47:00,95,308.45,Completed
JT11000570,JT11000570-1,WO700485,AP9000570,5146,1008,CSP2,PCFENCE,N,N,,Y,N,1,2026-03-31T07:54:00,2026-03-31T08:30:00,36,317.36,Completed
JT11000571,JT11000571-1,WO700486,AP9000571,5142,1009,CSP2,PCTILE,N,N,,Y,N,1,2026-03-31T08:06:00,2026-03-31T09:17:00,71,150.13,Completed
JT11000572,JT11000572-1,WO700487,AP9000572,5158,1006,CSP2,PCVINYL,N,N,,Y,N,1,2026-03-31T08:04:00,2026-03-31T09:24:00,80,192.93,Completed
JT11000573,JT11000573-1,WO700488,AP9000573,5139,1007,CSP2,PCPLUMB,N,N,,Y,N,1,2026-03-31T12:09:00,2026-03-31T12:29:00,20,250.91,Completed
JT11000574,JT11000574-1,WO700489,AP9000574,5136,1007,CSP2,PCGROUND,N,N,,Y,N,1,2026-03-31T08:02:00,2026-03-31T09:17:00,75,426.91,Completed
JT11000575,JT11000575-1,WO700490,AP9000575,5118,1006,CSP2,PCBRICK,N,N,,Y,N,1,2026-03-31T11:53:00,2026-03-31T13:14:00,81,368.64,Completed
JT11000576,JT11000576-1,WO700491,AP9000576,5173,1007,CSP2,PCTILE,N,N,,Y,N,1,2026-03-31T08:11:00,2026-03-31T09:35:00,84,207.64,Completed
JT11000577,JT11000577-1,WO700492,AP9000577,5174,1007,CSP2,PCCARP,N,N,,Y,N,1,2026-03-31T07:52:00,2026-03-31T09:35:00,103,218.20,Completed
JT11000578,JT11000578-1,WO700493,AP9000578,5143,1009,CSP2,PCFENCE,Y,N,,N,N,1,2026-03-31T08:14:00,2026-03-31T09:22:00,68,126.81,No Access
JT11000579,JT11000579-1,WO700493,AP9000579,5143,1009,CSP2,PCFENCE,N,N,,Y,Y,2,2026-04-02T12:07:00,2026-04-02T13:49:00,102,126.81,Completed
JT11000580,JT11000580-1,WO700494,AP9000580,5178,1008,CSP2,PCPLUMB,N,N,,Y,N,1,2026-03-31T12:14:00,2026-03-31T12:55:00,41,251.79,Completed
JT11000581,JT11000581-1,WO700495,AP9000581,5120,1007,CSP2,PCFENCE,N,N,,Y,N,1,2026-03-31T08:20:00,2026-03-31T09:42:00,82,125.90,Completed
JT11000582,JT11000582-1,WO700496,AP9000582,5197,1007,CSP2,PCGROUND,N,N,,Y,N,1,2026-03-31T08:06:00,2026-03-31T09:58:00,112,463.55,Completed
JT11000583,JT11000583-1,WO700497,AP9000583,5196,1006,CSP2,PCPLUMB,N,N,,Y,N,1,2026-03-31T07:59:00,2026-03-31T09:13:00,74,239.15,Completed
JT11000584,JT11000584-1,WO700498,AP9000584,5118,1007,CSP2,PCELEC,N,N,,Y,N,1,2026-03-31T08:16:00,2026-03-31T09:45:00,89,233.97,Completed
JT11000585,JT11000585-1,WO700499,AP9000585,5168,1007,CSP2,PCTILE,N,N,,Y,N,1,2026-03-31T08:13:00,2026-03-31T09:52:00,99,218.57,Completed
JT11000586,JT11000586-1,WO700500,AP9000586,5186,1008,CSP2,PCVINYL,N,N,,Y,N,1,2026-03-31T08:01:00,2026-03-31T09:09:00,68,267.91,Completed
JT11000587,JT11000587-1,WO700501,AP9000587,5122,1009,CSP2,PCFENCE,N,N,,Y,N,1,2026-03-31T08:16:00,2026-03-31T10:06:00,110,242.04,Completed
JT11000588,JT11000588-1,WO700502,AP9000588,5130,1007,CSP2,PCTILE,N,N,,Y,N,1,2026-03-31T08:17:00,2026-03-31T09:05:00,48,166.26,Completed
JT11000589,JT11000589-1,WO700503,AP9000589,5119,1006,CSP2,PCBRICK,N,N,,Y,N,1,2026-03-31T12:02:00,2026-03-31T13:05:00,63,381.16,Completed
JT11000590,JT11000590-1,WO700504,AP9000590,5195,1007,CSP2,PCGROUND,N,N,,Y,N,1,2026-03-31T08:05:00,2026-03-31T08:53:00,48,378.88,Completed
JT11000591,JT11000591-1,WO700505,AP9000591,5189,1007,CSP2,PCPLUMB,N,N,,Y,N,1,2026-03-31T08:20:00,2026-03-31T09:30:00,70,247.12,Completed
JT11000592,JT11000592-1,WO700506,AP9000592,5190,1007,CSP2,PCBRICK,N,N,,Y,N,1,2026-03-31T08:18:00,2026-03-31T09:45:00,87,354.40,Completed
JT11000593,JT11000593-1,WO700507,AP9000593,5285,1012,CSP4,PCFENCE,N,N,,Y,N,1,2026-03-31T11:55:00,2026-03-31T13:03:00,68,372.09,Completed
JT11000594,JT11000594-1,WO700508,AP9000594,5291,1014,CSP4,PCCARP,Y,N,,N,N,1,2026-03-31T08:08:00,2026-03-31T09:27:00,79,87.95,No Access
JT11000595,JT11000595-1,WO700508,AP9000595,5291,1014,CSP4,PCCARP,N,N,,Y,Y,2,2026-04-02T08:05:00,2026-04-02T09:06:00,61,87.95,Completed
JT11000596,JT11000596-1,WO700509,AP9000596,5259,1013,CSP4,PCGROUND,N,N,,Y,N,1,2026-03-31T11:51:00,2026-03-31T12:45:00,54,380.47,Completed
JT11000597,JT11000597-1,WO700510,AP9000597,5296,1013,CSP4,PCPLAST,N,N,,Y,N,1,2026-03-31T07:52:00,2026-03-31T09:24:00,92,181.29,Completed
JT11000598,JT11000598-1,WO700512,AP9000598,5272,1013,CSP4,PCBRICK,N,N,,Y,N,1,2026-03-31T08:03:00,2026-03-31T08:23:00,20,299.41,Completed
JT11000599,JT11000599-1,WO700513,AP9000599,5287,1013,CSP4,PCTILE,N,Y,Tenant requesting extra work,N,N,1,2026-03-31T07:52:00,2026-03-31T09:10:00,78,74.19,Completed
JT11000600,JT11000600-1,WO700513,AP9000600,5287,1013,CSP4,PCTILE,N,N,,Y,Y,2,2026-04-02T12:03:00,2026-04-02T12:40:00,37,74.19,Completed
JT11000601,JT11000601-1,WO700514,AP9000601,5270,1011,CSP4,PCPLAST,N,N,,Y,N,1,2026-03-31T08:13:00,2026-03-31T08:36:00,23,177.84,Completed
JT11000602,JT11000602-1,WO700515,AP9000602,5289,1014,CSP4,PCGROUND,N,N,,Y,N,1,2026-03-31T08:05:00,2026-03-31T10:10:00,125,330.85,Completed
JT11000603,JT11000603-1,WO700516,AP9000603,5209,1012,CSP4,PCGROUND,N,N,,Y,N,1,2026-03-31T08:05:00,2026-03-31T09:35:00,90,548.37,Completed
JT11000604,JT11000604-1,WO700517,AP9000604,5298,1012,CSP4,PCFENCE,N,N,,Y,N,1,2026-03-31T11:55:00,2026-03-31T12:26:00,31,358.75,Completed
JT11000605,JT11000605-1,WO700518,AP9000605,5282,1011,CSP4,PCBRICK,N,N,,Y,N,1,2026-03-31T08:17:00,2026-03-31T09:25:00,68,409.57,Completed
JT11000606,JT11000606-1,WO700519,AP9000606,5235,1011,CSP4,PCTILE,N,N,,Y,N,1,2026-03-31T07:59:00,2026-03-31T09:04:00,65,194.01,Completed
JT11000607,JT11000607-1,WO700520,AP9000607,5265,1012,CSP4,PCELEC,N,N,,Y,N,1,2026-03-31T07:57:00,2026-03-31T09:12:00,75,261.37,Completed
JT11000608,JT11000608-1,WO700521,AP9000608,5205,1014,CSP4,PCVINYL,N,Y,Tenant requesting extra work,N,N,1,2026-03-31T12:07:00,2026-03-31T12:55:00,48,105.67,Completed
JT11000609,JT11000609-1,WO700521,AP9000609,5205,1014,CSP4,PCVINYL,N,N,,Y,Y,2,2026-04-02T08:04:00,2026-04-02T08:52:00,48,105.67,Completed
JT11000610,JT11000610-1,WO700522,AP9000610,5226,1012,CSP4,PCTILE,N,N,,Y,N,1,2026-03-31T07:55:00,2026-03-31T09:28:00,93,135.23,Completed
JT11000611,JT11000611-1,WO700523,AP9000611,5259,1014,CSP4,PCTILE,N,N,,Y,N,1,2026-03-31T07:52:00,2026-03-31T09:28:00,96,131.94,Completed
JT11000612,JT11000612-1,WO700524,AP9000612,5279,1014,CSP4,PCGROUND,N,N,,Y,N,1,2026-03-31T08:02:00,2026-03-31T08:22:00,20,399.53,Completed
JT11000613,JT11000613-1,WO700525,AP9000613,5206,1011,CSP4,PCTILE,N,N,,Y,N,1,2026-03-31T12:20:00,2026-03-31T13:17:00,57,147.69,Completed
JT11000614,JT11000614-1,WO700526,AP9000614,5207,1014,CSP4,PCTILE,N,N,,Y,N,1,2026-03-31T08:07:00,2026-03-31T09:49:00,102,136.63,Completed
JT11000615,JT11000615-1,WO700527,AP9000615,5238,1012,CSP4,PCPLUMB,N,N,,Y,N,1,2026-03-31T08:19:00,2026-03-31T09:43:00,84,198.48,Completed
JT11000616,JT11000616-1,WO700528,AP9000616,5215,1013,CSP4,PCPLAST,N,N,,Y,N,1,2026-03-31T07:53:00,2026-03-31T09:42:00,109,189.66,Completed
JT11000617,JT11000617-1,WO700529,AP9000617,5004,1004,CSP1,PCPLAST,N,N,,Y,N,1,2026-04-01T11:59:00,2026-04-01T13:37:00,98,189.47,Completed
JT11000618,JT11000618-1,WO700530,AP9000618,5084,1003,CSP1,PCPLAST,N,N,,Y,N,1,2026-04-01T07:57:00,2026-04-01T10:09:00,132,150.87,Completed
JT11000619,JT11000619-1,WO700531,AP9000619,5091,1001,CSP1,PCVINYL,N,N,,Y,N,1,2026-04-01T07:53:00,2026-04-01T08:48:00,55,208.00,Completed
JT11000620,JT11000620-1,WO700532,AP9000620,5099,1003,CSP1,PCPLAST,N,N,,Y,N,1,2026-04-01T12:15:00,2026-04-01T13:18:00,63,183.73,Completed
JT11000621,JT11000621-1,WO700533,AP9000621,5099,1003,CSP1,PCPLUMB,N,N,,Y,N,1,2026-04-01T08:10:00,2026-04-01T08:30:00,20,266.47,Completed
JT11000622,JT11000622-1,WO700534,AP9000622,5026,1001,CSP1,PCPLUMB,N,N,,Y,N,1,2026-04-01T07:54:00,2026-04-01T09:24:00,90,240.76,Completed
JT11000623,JT11000623-1,WO700535,AP9000623,5078,1004,CSP1,PCELEC,N,N,,Y,N,1,2026-04-01T11:59:00,2026-04-01T13:00:00,61,274.49,Completed
JT11000624,JT11000624-1,WO700537,AP9000624,5019,1004,CSP1,PCPLUMB,N,N,,Y,N,1,2026-04-01T12:08:00,2026-04-01T13:57:00,109,168.53,Completed
JT11000625,JT11000625-1,WO700538,AP9000625,5012,1004,CSP1,PCPLUMB,N,N,,Y,N,1,2026-04-01T12:18:00,2026-04-01T13:57:00,99,187.60,Completed
JT11000626,JT11000626-1,WO700539,AP9000626,5077,1003,CSP1,PCGROUND,N,N,,Y,N,1,2026-04-01T12:12:00,2026-04-01T13:17:00,65,425.35,Completed
JT11000627,JT11000627-1,WO700540,AP9000627,5042,1003,CSP1,PCFENCE,N,Y,Asbestos found,N,N,1,2026-04-01T11:51:00,2026-04-01T12:46:00,55,132.31,Completed
JT11000628,JT11000628-1,WO700540,AP9000628,5042,1003,CSP1,PCFENCE,N,N,,Y,Y,2,2026-04-03T07:57:00,2026-04-03T09:24:00,87,132.31,Completed
JT11000629,JT11000629-1,WO700541,AP9000629,5016,1001,CSP1,PCBRICK,N,N,,Y,N,1,2026-04-01T08:13:00,2026-04-01T09:12:00,59,245.28,Completed
JT11000630,JT11000630-1,WO700542,AP9000630,5094,1002,CSP1,PCGROUND,N,N,,Y,N,1,2026-04-01T12:04:00,2026-04-01T13:32:00,88,330.45,Completed
JT11000631,JT11000631-1,WO700543,AP9000631,5055,1003,CSP1,PCFENCE,N,N,,Y,N,1,2026-04-01T08:08:00,2026-04-01T09:17:00,69,301.11,Completed
JT11000632,JT11000632-1,WO700544,AP9000632,5067,1003,CSP1,PCELEC,N,N,,Y,N,1,2026-04-01T08:04:00,2026-04-01T09:02:00,58,298.54,Completed
JT11000633,JT11000633-1,WO700545,AP9000633,5016,1002,CSP1,PCPLUMB,N,N,,Y,N,1,2026-04-01T12:01:00,2026-04-01T13:39:00,98,87.30,Completed
JT11000634,JT11000634-1,WO700546,AP9000634,5043,1002,CSP1,PCFENCE,N,N,,Y,N,1,2026-04-01T11:59:00,2026-04-01T13:33:00,94,220.37,Completed
JT11000635,JT11000635-1,WO700547,AP9000635,5009,1001,CSP1,PCBRICK,N,N,,Y,N,1,2026-04-01T12:09:00,2026-04-01T13:16:00,67,354.01,Completed
JT11000636,JT11000636-1,WO700548,AP9000636,5073,1003,CSP1,PCPLUMB,Y,N,,N,N,1,2026-04-01T08:02:00,2026-04-01T09:46:00,104,108.42,No Access
JT11000637,JT11000637-1,WO700548,AP9000637,5073,1003,CSP1,PCPLUMB,N,N,,Y,Y,2,2026-04-03T12:19:00,2026-04-03T13:26:00,67,108.42,Completed
JT11000638,JT11000638-1,WO700549,AP9000638,5005,1003,CSP1,PCPLAST,N,N,,Y,N,1,2026-04-01T12:17:00,2026-04-01T14:07:00,110,175.60,Completed
JT11000639,JT11000639-1,WO700550,AP9000639,5096,1003,CSP1,PCPLUMB,N,Y,Planned referral required,N,N,1,2026-04-01T07:57:00,2026-04-01T09:00:00,63,144.53,Completed
JT11000640,JT11000640-1,WO700550,AP9000640,5096,1003,CSP1,PCPLUMB,N,N,,Y,Y,2,2026-04-03T12:09:00,2026-04-03T12:41:00,32,144.53,Completed
JT11000641,JT11000641-1,WO700551,AP9000641,5188,1007,CSP2,PCFENCE,N,N,,Y,N,1,2026-04-01T07:57:00,2026-04-01T09:42:00,105,291.58,Completed
JT11000642,JT11000642-1,WO700552,AP9000642,5144,1009,CSP2,PCVINYL,N,N,,Y,N,1,2026-04-01T11:57:00,2026-04-01T12:19:00,22,204.28,Completed
JT11000643,JT11000643-1,WO700553,AP9000643,5197,1008,CSP2,PCBRICK,N,N,,Y,N,1,2026-04-01T11:58:00,2026-04-01T13:54:00,116,344.32,Completed
JT11000644,JT11000644-1,WO700554,AP9000644,5148,1007,CSP2,PCELEC,Y,N,,N,N,1,2026-04-01T07:57:00,2026-04-01T09:16:00,79,140.81,No Access
JT11000645,JT11000645-1,WO700554,AP9000645,5148,1007,CSP2,PCELEC,N,N,,Y,Y,2,2026-04-03T08:08:00,2026-04-03T09:10:00,62,140.81,Completed
JT11000646,JT11000646-1,WO700555,AP9000646,5200,1009,CSP2,PCTILE,N,N,,Y,N,1,2026-04-01T08:19:00,2026-04-01T09:57:00,98,100.46,Completed
JT11000647,JT11000647-1,WO700556,AP9000647,5144,1008,CSP2,PCELEC,N,N,,Y,N,1,2026-04-01T07:57:00,2026-04-01T09:47:00,110,334.33,Completed
JT11000648,JT11000648-1,WO700558,AP9000648,5106,1009,CSP2,PCCARP,N,Y,Weather condition,N,N,1,2026-04-01T07:51:00,2026-04-01T10:00:00,129,86.94,Completed
JT11000649,JT11000649-1,WO700558,AP9000649,5106,1009,CSP2,PCCARP,N,N,,Y,Y,2,2026-04-03T07:53:00,2026-04-03T09:35:00,102,86.94,Completed
JT11000650,JT11000650-1,WO700559,AP9000650,5174,1008,CSP2,PCBRICK,N,N,,Y,N,1,2026-04-01T08:01:00,2026-04-01T08:43:00,42,363.37,Completed
JT11000651,JT11000651-1,WO700560,AP9000651,5157,1009,CSP2,PCCARP,N,N,,Y,N,1,2026-04-01T12:00:00,2026-04-01T12:42:00,42,184.33,Completed
JT11000652,JT11000652-1,WO700561,AP9000652,5127,1007,CSP2,PCGROUND,Y,N,,N,N,1,2026-04-01T07:57:00,2026-04-01T09:17:00,80,181.75,No Access
JT11000653,JT11000653-1,WO700561,AP9000653,5127,1007,CSP2,PCGROUND,N,N,,Y,Y,2,2026-04-03T07:51:00,2026-04-03T08:55:00,64,181.75,Completed
JT11000654,JT11000654-1,WO700562,AP9000654,5122,1009,CSP2,PCCARP,Y,N,,N,N,1,2026-04-01T07:54:00,2026-04-01T09:39:00,105,92.97,No Access
JT11000655,JT11000655-1,WO700562,AP9000655,5122,1009,CSP2,PCCARP,N,N,,Y,Y,2,2026-04-03T08:09:00,2026-04-03T09:25:00,76,92.97,Completed
JT11000656,JT11000656-1,WO700563,AP9000656,5187,1008,CSP2,PCPLUMB,N,N,,Y,N,1,2026-04-01T07:54:00,2026-04-01T09:17:00,83,282.38,Completed
JT11000657,JT11000657-1,WO700564,AP9000657,5181,1007,CSP2,PCELEC,N,N,,Y,N,1,2026-04-01T08:17:00,2026-04-01T08:44:00,27,192.12,Completed
JT11000658,JT11000658-1,WO700565,AP9000658,5197,1009,CSP2,PCELEC,Y,N,,N,N,1,2026-04-01T08:00:00,2026-04-01T09:26:00,86,135.11,No Access
JT11000659,JT11000659-1,WO700565,AP9000659,5197,1009,CSP2,PCELEC,N,N,,Y,Y,2,2026-04-03T08:00:00,2026-04-03T08:41:00,41,135.11,Completed
JT11000660,JT11000660-1,WO700566,AP9000660,5191,1009,CSP2,PCELEC,N,Y,Tenant requesting extra work,N,N,1,2026-04-01T08:19:00,2026-04-01T08:59:00,40,105.17,Completed
JT11000661,JT11000661-1,WO700566,AP9000661,5191,1009,CSP2,PCELEC,N,N,,Y,Y,2,2026-04-03T07:56:00,2026-04-03T09:29:00,93,105.17,Completed
