WorksOrderReference,ServiceRequestNo,PropertiesSK,ContractorSiteCode,JobPriorityCode,JobSORCode,JobType,NumberOfJobs,EstimatedCost,RepairNet,RepairVAT,RepairGross,InvoicedCost,InvoicedLabourCosts,InvoicedMaterialCosts,InvoicedSubcontractorCosts,InvoicedOverheadCosts,LabourHours,ServiceRequestReportedDatetime,WorksOrderRaisedDatetime,WorksOrderTargetDatetime,WorksOrderReportedCompleteDatetime,WorksOrderStatusCode,SLAStatus
WO700363,SR700363,5124,IHREPAIRS,E,PCGROUND,Responsive,1,389.94,409.44,81.89,491.33,401.25,220.69,140.44,0.00,40.12,6.50,2026-03-27T12:02:00,2026-03-27T12:02:00,2026-03-28T12:02:00,2026-03-27T21:02:00,Completed,Met
WO700364,SR700364,5128,KPIF,UEL,PCFENCE,Responsive,1,247.61,259.99,52.00,311.99,254.79,140.13,89.18,0.00,25.48,4.13,2026-03-27T13:46:00,2026-03-27T13:46:00,2026-03-28T13:46:00,2026-03-27T14:46:00,Completed,Met
WO700365,SR700365,5184,KPIF,U1,PCPLUMB,Responsive,1,206.35,216.67,43.33,260.00,212.34,116.79,74.32,0.00,21.23,3.44,2026-03-27T10:33:00,2026-03-27T10:33:00,2026-03-29T10:33:00,2026-03-29T01:33:00,Completed,Met
WO700366,SR700366,5106,CCSS,Q,PCFENCE,Responsive,1,321.29,337.35,67.47,404.82,330.60,33.06,49.59,214.89,33.06,5.35,2026-03-27T09:28:00,2026-03-27T09:28:00,2026-04-24T09:28:00,2026-04-07T21:28:00,Completed,Met
WO700367,SR700367,5167,IHREPAIRS,Q,PCFENCE,Responsive,1,309.32,324.79,64.96,389.75,318.29,175.06,111.40,0.00,31.83,5.16,2026-03-27T12:39:00,2026-03-27T12:39:00,2026-04-24T12:39:00,2026-04-24T19:39:00,Completed,Breached
WO700368,SR700368,5166,KPIF,QEL,PCCARP,Responsive,1,170.58,179.11,35.82,214.93,175.53,96.54,61.44,0.00,17.55,2.84,2026-03-27T13:05:00,2026-03-27T13:05:00,2026-04-10T13:05:00,2026-04-01T02:05:00,Completed,Met
WO700369,SR700369,5181,KPIF,QEL,PCTILE,Responsive,1,212.01,222.61,44.52,267.13,218.16,119.99,76.36,0.00,21.82,3.53,2026-03-27T09:23:00,2026-03-27T09:23:00,2026-04-10T09:23:00,2026-04-06T05:23:00,Completed,Met
WO700370,SR700370,5195,PHJONESGAS,Q,PCVINYL,Responsive,1,256.12,268.93,53.79,322.72,263.55,26.36,39.53,171.31,26.35,4.27,2026-03-27T14:21:00,2026-03-27T14:21:00,2026-04-24T14:21:00,2026-04-16T21:21:00,Completed,Met
WO700371,SR700371,5112,CCSS,E,PCCARP,Responsive,1,205.77,216.06,43.21,259.27,211.74,21.17,31.76,137.63,21.17,3.43,2026-03-27T13:15:00,2026-03-27T13:15:00,2026-03-28T13:15:00,2026-03-28T11:15:00,Completed,Met
WO700372,SR700372,5153,KPIF,Q,PCVINYL,Responsive,1,226.27,237.58,47.52,285.10,232.83,128.06,81.49,0.00,23.28,3.77,2026-03-27T11:11:00,2026-03-27T11:11:00,2026-04-24T11:11:00,2026-04-21T14:11:00,Completed,Met
WO700373,SR700373,5183,IHREPAIRS,Q,PCCARP,Responsive,1,155.14,162.90,32.58,195.48,159.64,87.80,55.87,0.00,15.96,2.59,2026-03-27T14:28:00,2026-03-27T14:28:00,2026-04-24T14:28:00,2026-04-16T10:28:00,Completed,Met
WO700374,SR700374,5138,KPIF,Q,PCBRICK,Responsive,1,392.58,412.21,82.44,494.65,403.97,222.18,141.39,0.00,40.40,6.54,2026-03-27T12:14:00,2026-03-27T12:14:00,2026-04-24T12:14:00,,Open,Open
WO700375,SR700375,5221,CCSS,UEL,PCGROUND,Responsive,1,510.49,536.01,107.20,643.21,525.29,52.53,78.79,341.44,52.53,8.51,2026-03-27T13:09:00,2026-03-27T13:09:00,2026-03-28T13:09:00,2026-03-28T01:09:00,Completed,Met
WO700376,SR700376,5294,KPIF,QEL,PCFENCE,Responsive,1,291.43,306.00,61.20,367.20,299.88,164.93,104.96,0.00,29.99,4.86,2026-03-27T13:14:00,2026-03-27T13:14:00,2026-04-10T13:14:00,2026-04-05T10:14:00,Completed,Met
WO700377,SR700377,5251,KPIF,Q,PCGROUND,Responsive,1,250.40,262.92,52.58,315.50,257.66,141.71,90.18,0.00,25.77,4.17,2026-03-27T10:17:00,2026-03-27T10:17:00,2026-04-24T10:17:00,2026-04-13T02:17:00,Completed,Met
WO700378,SR700378,5253,KPIF,U1,PCGROUND,Responsive,1,368.20,386.61,77.32,463.93,378.88,208.38,132.61,0.00,37.89,6.14,2026-03-27T13:45:00,2026-03-27T13:45:00,2026-03-29T13:45:00,2026-03-28T21:45:00,Completed,Met
WO700379,SR700379,5273,BRADLEY,QEL,PCPLUMB,Responsive,1,253.15,265.81,53.16,318.97,260.49,26.05,39.07,169.32,26.05,4.22,2026-03-27T13:11:00,2026-03-27T13:11:00,2026-04-10T13:11:00,2026-04-01T12:11:00,Completed,Met
WO700380,SR700380,5209,CCSS,U1,PCBRICK,Responsive,1,303.77,318.96,63.79,382.75,312.58,31.26,46.89,203.18,31.26,5.06,2026-03-27T12:39:00,2026-03-27T12:39:00,2026-03-29T12:39:00,2026-03-29T01:39:00,Completed,Met
WO700381,SR700381,5231,KPIF,UEL,PCCARP,Responsive,1,212.29,222.90,44.58,267.48,218.44,120.14,76.45,0.00,21.84,3.54,2026-03-27T10:09:00,2026-03-27T10:09:00,2026-03-28T10:09:00,2026-03-27T22:09:00,Completed,Met
WO700382,SR700382,5240,KPIF,Q,PCPLAST,Responsive,1,194.38,204.10,40.82,244.92,200.02,110.01,70.01,0.00,20.00,3.24,2026-03-27T11:11:00,2026-03-27T11:11:00,2026-04-24T11:11:00,2026-04-16T13:11:00,Completed,Met
WO700383,SR700383,5229,KPIF,UEL,PCVINYL,Responsive,1,139.25,146.21,29.24,175.45,143.29,78.81,50.15,0.00,14.33,2.32,2026-03-27T14:17:00,2026-03-27T14:17:00,2026-03-28T14:17:00,2026-03-28T03:17:00,Completed,Met
WO700384,SR700384,5246,KPIF,Q,PCBRICK,Responsive,1,251.32,263.89,52.78,316.67,258.61,142.24,90.51,0.00,25.86,4.19,2026-03-27T14:00:00,2026-03-27T14:00:00,2026-04-24T14:00:00,2026-04-04T22:00:00,Completed,Met
WO700385,SR700385,5218,CCSS,U1,PCGROUND,Responsive,1,423.51,444.69,88.94,533.63,435.80,43.58,65.37,283.27,43.58,7.06,2026-03-27T13:50:00,2026-03-27T13:50:00,2026-03-29T13:50:00,,Open,Open
WO700386,SR700386,5265,IHREPAIRS,QEL,PCPLUMB,Responsive,1,251.48,264.05,52.81,316.86,258.77,142.32,90.57,0.00,25.88,4.19,2026-03-27T13:32:00,2026-03-27T13:32:00,2026-04-10T13:32:00,2026-04-05T02:32:00,Completed,Met
WO700387,SR700387,5270,KPIF,Q,PCELEC,Responsive,1,339.36,356.33,71.27,427.60,349.20,192.06,122.22,0.00,34.92,5.66,2026-03-27T11:50:00,2026-03-27T11:50:00,2026-04-24T11:50:00,2026-04-14T20:50:00,Completed,Met
WO700388,SR700388,5238,IHREPAIRS,Q,PCPLAST,Responsive,1,203.97,214.17,42.83,257.00,209.89,115.44,73.46,0.00,20.99,3.40,2026-03-27T11:53:00,2026-03-27T11:53:00,2026-04-24T11:53:00,2026-04-12T17:53:00,Completed,Met
WO700389,SR700389,5279,KPIF,Q,PCPLAST,Responsive,1,279.19,293.15,58.63,351.78,287.29,158.01,100.55,0.00,28.73,4.65,2026-03-27T09:51:00,2026-03-27T09:51:00,2026-04-24T09:51:00,2026-04-19T01:51:00,Completed,Met
WO700390,SR700390,5219,KPIF,QEL,PCELEC,Responsive,1,296.43,311.25,62.25,373.50,305.02,167.76,106.76,0.00,30.50,4.94,2026-03-27T12:39:00,2026-03-27T12:39:00,2026-04-10T12:39:00,2026-04-05T03:39:00,Completed,Met
WO700391,SR700391,5286,CCSS,Q,PCTILE,Responsive,1,166.01,174.31,34.86,209.17,170.82,17.08,25.62,111.03,17.08,2.77,2026-03-27T11:48:00,2026-03-27T11:48:00,2026-04-24T11:48:00,,Open,Open
WO700392,SR700392,5284,PHJONESGAS,U1,PCFENCE,Responsive,1,196.08,205.88,41.18,247.06,201.76,20.18,30.26,131.14,20.18,3.27,2026-03-27T13:54:00,2026-03-27T13:54:00,2026-03-29T13:54:00,2026-03-29T02:54:00,Completed,Met
WO700393,SR700393,5270,KPIF,Q,PCPLAST,Responsive,1,143.84,151.03,30.21,181.24,148.01,81.41,51.80,0.00,14.80,2.40,2026-03-27T13:30:00,2026-03-27T13:30:00,2026-04-24T13:30:00,2026-04-07T06:30:00,Completed,Met
WO700394,SR700394,5249,KPIF,Q,PCTILE,Responsive,1,162.72,170.86,34.17,205.03,167.44,92.09,58.60,0.00,16.74,2.71,2026-03-27T11:26:00,2026-03-27T11:26:00,2026-04-24T11:26:00,2026-04-06T20:26:00,Completed,Met
WO700395,SR700395,5265,KPIF,Q,PCPLAST,Responsive,1,180.54,189.57,37.91,227.48,185.78,102.18,65.02,0.00,18.58,3.01,2026-03-27T12:53:00,2026-03-27T12:53:00,2026-04-24T12:53:00,2026-04-10T21:53:00,Completed,Met
WO700396,SR700396,5247,KPIF,Q,PCCARP,Responsive,1,143.51,150.69,30.14,180.83,147.68,81.22,51.69,0.00,14.77,2.39,2026-03-27T11:19:00,2026-03-27T11:19:00,2026-04-24T11:19:00,2026-04-12T01:19:00,Completed,Met
WO700397,SR700397,5027,KPIF,Q,PCPLAST,Responsive,1,212.58,223.21,44.64,267.85,218.75,120.31,76.56,0.00,21.87,3.54,2026-03-30T10:34:00,2026-03-30T10:34:00,2026-04-27T10:34:00,2026-04-23T06:34:00,Completed,Met
WO700398,SR700398,5081,IHREPAIRS,E,PCGROUND,Responsive,1,554.36,582.08,116.42,698.50,570.44,313.74,199.65,0.00,57.04,9.24,2026-03-30T08:58:00,2026-03-30T08:58:00,2026-03-31T08:58:00,2026-03-31T03:58:00,Completed,Met
WO700399,SR700399,5052,CCSS,QEL,PCPLUMB,Responsive,1,230.18,241.69,48.34,290.03,236.86,23.69,35.53,153.96,23.69,3.84,2026-03-30T10:55:00,2026-03-30T10:55:00,2026-04-13T10:55:00,2026-04-09T15:55:00,Completed,Met
WO700400,SR700400,5061,OPENVIEW,U1,PCELEC,Responsive,1,308.34,323.76,64.75,388.51,317.28,31.73,47.59,206.23,31.73,5.14,2026-03-30T13:37:00,2026-03-30T13:37:00,2026-04-01T13:37:00,2026-04-01T01:37:00,Completed,Met
WO700401,SR700401,5080,CCSS,UEL,PCGROUND,Responsive,1,363.39,381.56,76.31,457.87,373.93,37.39,56.09,243.05,37.39,6.06,2026-03-30T11:25:00,2026-03-30T11:25:00,2026-03-31T11:25:00,,Open,Open
WO700402,SR700402,5049,KPIF,U1,PCVINYL,Responsive,1,183.77,192.96,38.59,231.55,189.10,104.01,66.18,0.00,18.91,3.06,2026-03-30T12:57:00,2026-03-30T12:57:00,2026-04-01T12:57:00,2026-04-01T00:57:00,Completed,Met
WO700403,SR700403,5020,BRADLEY,U1,PCCARP,Responsive,1,193.77,203.46,40.69,244.15,199.39,19.94,29.91,129.60,19.94,3.23,2026-03-30T13:37:00,2026-03-30T13:37:00,2026-04-01T13:37:00,2026-04-01T10:37:00,Completed,Met
WO700404,SR700404,5016,KPIF,Q,PCCARP,Responsive,1,179.61,188.59,37.72,226.31,184.82,101.65,64.69,0.00,18.48,2.99,2026-03-30T13:38:00,2026-03-30T13:38:00,2026-04-27T13:38:00,2026-04-16T01:38:00,Completed,Met
WO700405,SR700405,5087,KPIF,Q,PCVINYL,Responsive,1,180.33,189.35,37.87,227.22,185.56,102.06,64.95,0.00,18.56,3.01,2026-03-30T08:52:00,2026-03-30T08:52:00,2026-04-27T08:52:00,2026-04-14T05:52:00,Completed,Met
WO700406,SR700406,5062,OPENVIEW,Q,PCVINYL,Responsive,1,200.81,210.85,42.17,253.02,206.63,20.66,30.99,134.31,20.66,3.35,2026-03-30T14:26:00,2026-03-30T14:26:00,2026-04-27T14:26:00,2026-04-11T03:26:00,Completed,Met
WO700407,SR700407,5099,KPIF,QEL,PCTILE,Responsive,1,139.36,146.33,29.27,175.60,143.40,78.87,50.19,0.00,14.34,2.32,2026-03-30T13:36:00,2026-03-30T13:36:00,2026-04-13T13:36:00,2026-04-09T23:36:00,Completed,Met
WO700408,SR700408,5091,KPIF,Q,PCPLUMB,Responsive,1,260.71,273.75,54.75,328.50,268.27,147.55,93.89,0.00,26.83,4.35,2026-03-30T08:33:00,2026-03-30T08:33:00,2026-04-27T08:33:00,2026-04-13T10:33:00,Completed,Met
WO700409,SR700409,5053,KPIF,U1,PCFENCE,Responsive,1,379.02,397.97,79.59,477.56,390.01,214.51,136.50,0.00,39.00,6.32,2026-03-30T13:29:00,2026-03-30T13:29:00,2026-04-01T13:29:00,2026-03-31T17:29:00,Completed,Met
WO700410,SR700410,5047,KPIF,NG,PCBRICK,Responsive,1,372.28,390.89,78.18,469.07,383.07,210.69,134.07,0.00,38.31,6.20,2026-03-30T10:14:00,2026-03-30T10:14:00,2026-04-13T10:14:00,2026-04-03T15:14:00,Completed,Met
WO700411,SR700411,5048,KPIF,Q,PCGROUND,Responsive,1,350.32,367.84,73.57,441.41,360.48,198.26,126.17,0.00,36.05,5.84,2026-03-30T11:07:00,2026-03-30T11:07:00,2026-04-27T11:07:00,2026-04-07T17:07:00,Completed,Met
WO700412,SR700412,5018,KPIF,Q,PCCARP,Responsive,1,175.33,184.10,36.82,220.92,180.42,99.23,63.15,0.00,18.04,2.92,2026-03-30T14:28:00,2026-03-30T14:28:00,2026-04-27T14:28:00,2026-04-18T19:28:00,Completed,Met
WO700413,SR700413,5044,CCSS,Q,PCGROUND,Responsive,1,571.53,600.11,120.02,720.13,588.11,58.81,88.22,382.27,58.81,9.53,2026-03-30T08:56:00,2026-03-30T08:56:00,2026-04-27T08:56:00,,Open,Open
WO700414,SR700414,5012,IHREPAIRS,Q,PCPLAST,Responsive,1,209.99,220.49,44.10,264.59,216.08,118.84,75.63,0.00,21.61,3.50,2026-03-30T09:15:00,2026-03-30T09:15:00,2026-04-27T09:15:00,2026-04-19T19:15:00,Completed,Met
WO700415,SR700415,5005,KPIF,QEL,PCVINYL,Responsive,1,211.78,222.37,44.47,266.84,217.92,119.86,76.27,0.00,21.79,3.53,2026-03-30T14:05:00,2026-03-30T14:05:00,2026-04-13T14:05:00,2026-04-03T14:05:00,Completed,Met
WO700416,SR700416,5100,KPIF,Q,PCPLAST,Responsive,1,132.87,139.51,27.90,167.41,136.72,75.20,47.85,0.00,13.67,2.21,2026-03-30T10:13:00,2026-03-30T10:13:00,2026-04-27T10:13:00,2026-04-23T20:13:00,Completed,Met
WO700417,SR700417,5025,IHREPAIRS,QEL,PCPLUMB,Responsive,1,266.15,279.46,55.89,335.35,273.87,150.63,95.85,0.00,27.39,4.44,2026-03-30T14:27:00,2026-03-30T14:27:00,2026-04-13T14:27:00,,Open,Open
WO700418,SR700418,5031,KPIF,NG,PCPLUMB,Responsive,1,200.38,210.40,42.08,252.48,206.19,113.40,72.17,0.00,20.62,3.34,2026-03-30T10:51:00,2026-03-30T10:51:00,2026-04-13T10:51:00,2026-04-08T07:51:00,Completed,Met
WO700419,SR700419,5176,CCSS,Q,PCTILE,Responsive,1,142.31,149.43,29.89,179.32,146.44,14.64,21.97,95.19,14.64,2.37,2026-03-30T09:05:00,2026-03-30T09:05:00,2026-04-27T09:05:00,2026-04-22T08:05:00,Completed,Met
WO700420,SR700420,5172,OPENVIEW,Q,PCFENCE,Responsive,1,259.46,272.43,54.49,326.92,266.98,26.70,40.05,173.54,26.70,4.32,2026-03-30T10:25:00,2026-03-30T10:25:00,2026-04-27T10:25:00,2026-04-13T07:25:00,Completed,Met
WO700421,SR700421,5174,KPIF,UEL,PCPLUMB,Responsive,1,221.60,232.68,46.54,279.22,228.03,125.42,79.81,0.00,22.80,3.69,2026-03-30T09:24:00,2026-03-30T09:24:00,2026-03-31T09:24:00,2026-03-30T18:24:00,Completed,Met
WO700422,SR700422,5115,BRADLEY,QEL,PCGROUND,Responsive,1,489.81,514.30,102.86,617.16,504.01,50.40,75.60,327.61,50.40,8.16,2026-03-30T13:24:00,2026-03-30T13:24:00,2026-04-13T13:24:00,2026-04-07T22:24:00,Completed,Met
WO700423,SR700423,5162,PHJONESGAS,Q,PCTILE,Responsive,1,104.24,109.45,21.89,131.34,107.26,10.73,16.09,69.72,10.73,1.74,2026-03-30T12:24:00,2026-03-30T12:24:00,2026-04-27T12:24:00,2026-04-11T07:24:00,Completed,Met
WO700424,SR700424,5162,KPIF,UEL,PCCARP,Responsive,1,159.01,166.96,33.39,200.35,163.62,89.99,57.27,0.00,16.36,2.65,2026-03-30T10:22:00,2026-03-30T10:22:00,2026-03-31T10:22:00,2026-03-30T22:22:00,Completed,Met
WO700425,SR700425,5146,CCSS,Q,PCGROUND,Responsive,1,442.61,464.74,92.95,557.69,455.45,45.55,68.32,296.04,45.54,7.38,2026-03-30T10:44:00,2026-03-30T10:44:00,2026-04-27T10:44:00,2026-04-16T05:44:00,Completed,Met
WO700426,SR700426,5144,KPIF,Q,PCCARP,Responsive,1,234.66,246.39,49.28,295.67,241.46,132.80,84.51,0.00,24.15,3.91,2026-03-30T11:10:00,2026-03-30T11:10:00,2026-04-27T11:10:00,2026-04-09T01:10:00,Completed,Met
WO700427,SR700427,5196,KPIF,Q,PCTILE,Responsive,1,145.94,153.24,30.65,183.89,150.18,82.60,52.56,0.00,15.02,2.43,2026-03-30T10:33:00,2026-03-30T10:33:00,2026-04-27T10:33:00,2026-04-18T20:33:00,Completed,Met
WO700428,SR700428,5132,KPIF,U1,PCFENCE,Responsive,1,213.56,224.24,44.85,269.09,219.76,120.87,76.92,0.00,21.98,3.56,2026-03-30T09:10:00,2026-03-30T09:10:00,2026-04-01T09:10:00,2026-03-31T07:10:00,Completed,Met
WO700429,SR700429,5198,OPENVIEW,QEL,PCGROUND,Responsive,1,350.91,368.46,73.69,442.15,361.09,36.11,54.16,234.71,36.11,5.85,2026-03-30T11:40:00,2026-03-30T11:40:00,2026-04-13T11:40:00,2026-04-05T11:40:00,Completed,Met
WO700430,SR700430,5174,PHJONESGAS,Q,PCBRICK,Responsive,1,360.09,378.09,75.62,453.71,370.53,37.05,55.58,240.84,37.05,6.00,2026-03-30T12:51:00,2026-03-30T12:51:00,2026-04-27T12:51:00,2026-04-15T13:51:00,Completed,Met
WO700431,SR700431,5107,IHREPAIRS,QEL,PCGROUND,Responsive,1,423.85,445.04,89.01,534.05,436.14,239.88,152.65,0.00,43.61,7.06,2026-03-30T13:06:00,2026-03-30T13:06:00,2026-04-13T13:06:00,2026-04-10T11:06:00,Completed,Met
WO700432,SR700432,5200,KPIF,Q,PCPLAST,Responsive,1,213.66,224.34,44.87,269.21,219.85,120.92,76.95,0.00,21.98,3.56,2026-03-30T12:55:00,2026-03-30T12:55:00,2026-04-27T12:55:00,,Open,Open
WO700433,SR700433,5127,KPIF,Q,PCVINYL,Responsive,1,200.55,210.58,42.12,252.70,206.37,113.50,72.23,0.00,20.64,3.34,2026-03-30T13:43:00,2026-03-30T13:43:00,2026-04-27T13:43:00,2026-04-18T16:43:00,Completed,Met
WO700434,SR700434,5135,KPIF,QEL,PCELEC,Responsive,1,260.25,273.26,54.65,327.91,267.79,147.28,93.73,0.00,26.78,4.34,2026-03-30T10:04:00,2026-03-30T10:04:00,2026-04-13T10:04:00,2026-04-05T21:04:00,Completed,Met
WO700435,SR700435,5148,KPIF,QEL,PCFENCE,Responsive,1,219.13,230.09,46.02,276.11,225.49,124.02,78.92,0.00,22.55,3.65,2026-03-30T10:02:00,2026-03-30T10:02:00,2026-04-13T10:02:00,2026-03-31T19:02:00,Completed,Met
WO700436,SR700436,5113,IHREPAIRS,QEL,PCBRICK,Responsive,1,417.47,438.34,87.67,526.01,429.57,236.26,150.35,0.00,42.96,6.96,2026-03-30T11:45:00,2026-03-30T11:45:00,2026-04-13T11:45:00,2026-04-09T12:45:00,Completed,Met
WO700437,SR700437,5161,IHREPAIRS,U1,PCPLUMB,Responsive,1,232.64,244.27,48.85,293.12,239.38,131.66,83.78,0.00,23.94,3.88,2026-03-30T13:52:00,2026-03-30T13:52:00,2026-04-01T13:52:00,2026-03-31T02:52:00,Completed,Met
WO700438,SR700438,5139,IHREPAIRS,Q,PCBRICK,Responsive,1,340.04,357.04,71.41,428.45,349.90,192.44,122.46,0.00,34.99,5.67,2026-03-30T11:53:00,2026-03-30T11:53:00,2026-04-27T11:53:00,2026-04-18T23:53:00,Completed,Met
WO700439,SR700439,5133,KPIF,QEL,PCELEC,Responsive,1,304.16,319.37,63.87,383.24,312.98,172.14,109.54,0.00,31.30,5.07,2026-03-30T11:21:00,2026-03-30T11:21:00,2026-04-13T11:21:00,2026-04-07T16:21:00,Completed,Met
WO700440,SR700440,5133,KPIF,E,PCFENCE,Responsive,1,272.29,285.90,57.18,343.08,280.18,154.10,98.06,0.00,28.02,4.54,2026-03-30T14:17:00,2026-03-30T14:17:00,2026-03-31T14:17:00,2026-03-31T07:17:00,Completed,Met
WO700441,SR700441,5284,CCSS,U1,PCGROUND,Responsive,1,488.57,513.00,102.60,615.60,502.74,50.27,75.41,326.78,50.27,8.14,2026-03-30T11:31:00,2026-03-30T11:31:00,2026-04-01T11:31:00,2026-03-31T10:31:00,Completed,Met
WO700442,SR700442,5258,KPIF,Q,PCCARP,Responsive,1,162.43,170.55,34.11,204.66,167.14,91.93,58.50,0.00,16.71,2.71,2026-03-30T13:53:00,2026-03-30T13:53:00,2026-04-27T13:53:00,2026-04-27T04:53:00,Completed,Met
WO700443,SR700443,5244,IHREPAIRS,Q,PCVINYL,Responsive,1,237.33,249.20,49.84,299.04,244.22,134.32,85.48,0.00,24.42,3.96,2026-03-30T09:06:00,2026-03-30T09:06:00,2026-04-27T09:06:00,2026-04-20T16:06:00,Completed,Met
WO700444,SR700444,5284,IHREPAIRS,Q,PCBRICK,Responsive,1,381.94,401.04,80.21,481.25,393.02,216.16,137.56,0.00,39.30,6.37,2026-03-30T11:52:00,2026-03-30T11:52:00,2026-04-27T11:52:00,2026-04-15T10:52:00,Completed,Met
WO700445,SR700445,5247,KPIF,NG,PCGROUND,Responsive,1,379.74,398.73,79.75,478.48,390.76,214.92,136.77,0.00,39.08,6.33,2026-03-30T10:04:00,2026-03-30T10:04:00,2026-04-13T10:04:00,2026-04-08T16:04:00,Completed,Met
WO700446,SR700446,5233,KPIF,UEL,PCCARP,Responsive,1,205.97,216.27,43.25,259.52,211.94,116.57,74.18,0.00,21.19,3.43,2026-03-30T09:18:00,2026-03-30T09:18:00,2026-03-31T09:18:00,2026-03-31T08:18:00,Completed,Met
WO700447,SR700447,5204,PHJONESGAS,Q,PCVINYL,Responsive,1,242.93,255.08,51.02,306.10,249.98,25.00,37.50,162.49,25.00,4.05,2026-03-30T09:23:00,2026-03-30T09:23:00,2026-04-27T09:23:00,2026-04-15T22:23:00,Completed,Met
WO700448,SR700448,5250,CCSS,UEL,PCBRICK,Responsive,1,298.19,313.10,62.62,375.72,306.84,30.68,46.03,199.45,30.68,4.97,2026-03-30T12:16:00,2026-03-30T12:16:00,2026-03-31T12:16:00,2026-03-31T00:16:00,Completed,Met
WO700449,SR700449,5204,OPENVIEW,Q,PCPLUMB,Responsive,1,203.48,213.65,42.73,256.38,209.38,20.94,31.41,136.10,20.94,3.39,2026-03-30T11:16:00,2026-03-30T11:16:00,2026-04-27T11:16:00,2026-04-20T09:16:00,Completed,Met
WO700450,SR700450,5235,PHJONESGAS,Q,PCGROUND,Responsive,1,385.89,405.18,81.04,486.22,397.08,39.71,59.56,258.10,39.71,6.43,2026-03-30T14:27:00,2026-03-30T14:27:00,2026-04-27T14:27:00,2026-04-09T02:27:00,Completed,Met
WO700451,SR700451,5296,IHREPAIRS,Q,PCVINYL,Responsive,1,195.42,205.19,41.04,246.23,201.09,110.60,70.38,0.00,20.11,3.26,2026-03-30T11:08:00,2026-03-30T11:08:00,2026-04-27T11:08:00,2026-04-21T15:08:00,Completed,Met
WO700452,SR700452,5212,KPIF,UEL,PCELEC,Responsive,1,260.60,273.63,54.73,328.36,268.16,147.49,93.86,0.00,26.82,4.34,2026-03-30T09:49:00,2026-03-30T09:49:00,2026-03-31T09:49:00,2026-03-30T23:49:00,Completed,Met
WO700453,SR700453,5218,IHREPAIRS,UEL,PCFENCE,Responsive,1,222.57,233.70,46.74,280.44,229.03,125.97,80.16,0.00,22.90,3.71,2026-03-30T14:22:00,2026-03-30T14:22:00,2026-03-31T14:22:00,2026-03-31T14:22:00,Completed,Met
WO700454,SR700454,5202,IHREPAIRS,QEL,PCVINYL,Responsive,1,212.36,222.98,44.60,267.58,218.52,120.19,76.48,0.00,21.85,3.54,2026-03-30T08:33:00,2026-03-30T08:33:00,2026-04-13T08:33:00,2026-04-06T00:33:00,Completed,Met
WO700455,SR700455,5256,CCSS,UEL,PCVINYL,Responsive,1,244.66,256.89,51.38,308.27,251.75,25.18,37.76,163.64,25.17,4.08,2026-03-30T14:00:00,2026-03-30T14:00:00,2026-03-31T14:00:00,2026-03-31T00:00:00,Completed,Met
WO700456,SR700456,5255,CCSS,Q,PCTILE,Responsive,1,119.08,125.03,25.01,150.04,122.53,12.25,18.38,79.64,12.25,1.98,2026-03-30T13:43:00,2026-03-30T13:43:00,2026-04-27T13:43:00,2026-04-19T08:43:00,Completed,Met
WO700457,SR700457,5296,KPIF,QEL,PCGROUND,Responsive,1,465.61,488.89,97.78,586.67,479.11,263.51,167.69,0.00,47.91,7.76,2026-03-30T09:05:00,2026-03-30T09:05:00,2026-04-13T09:05:00,2026-04-08T17:05:00,Completed,Met
WO700458,SR700458,5280,IHREPAIRS,UEL,PCELEC,Responsive,1,284.28,298.49,59.70,358.19,292.52,160.89,102.38,0.00,29.25,4.74,2026-03-30T10:06:00,2026-03-30T10:06:00,2026-03-31T10:06:00,2026-03-30T23:06:00,Completed,Met
WO700459,SR700459,5203,KPIF,NG,PCPLAST,Responsive,1,143.36,150.53,30.11,180.64,147.52,81.14,51.63,0.00,14.75,2.39,2026-03-30T09:34:00,2026-03-30T09:34:00,2026-04-13T09:34:00,2026-04-06T19:34:00,Completed,Met
WO700460,SR700460,5220,KPIF,Q,PCPLUMB,Responsive,1,190.53,200.06,40.01,240.07,196.06,107.83,68.62,0.00,19.61,3.18,2026-03-30T11:09:00,2026-03-30T11:09:00,2026-04-27T11:09:00,2026-04-17T17:09:00,Completed,Met
WO700461,SR700461,5290,OPENVIEW,UEL,PCPLUMB,Responsive,1,265.76,279.05,55.81,334.86,273.47,27.35,41.02,177.76,27.35,4.43,2026-03-30T09:44:00,2026-03-30T09:44:00,2026-03-31T09:44:00,2026-03-31T07:44:00,Completed,Met
WO700462,SR700462,5261,OPENVIEW,U1,PCPLAST,Responsive,1,183.81,193.00,38.60,231.60,189.14,18.91,28.37,122.94,18.91,3.06,2026-03-30T11:45:00,2026-03-30T11:45:00,2026-04-01T11:45:00,2026-03-31T18:45:00,Completed,Met
WO700463,SR700463,5032,KPIF,QEL,PCVINYL,Responsive,1,281.30,295.37,59.07,354.44,289.46,159.20,101.31,0.00,28.95,4.69,2026-03-31T08:47:00,2026-03-31T08:47:00,2026-04-14T08:47:00,2026-04-10T03:47:00,Completed,Met
WO700464,SR700464,5086,CCSS,Q,PCTILE,Responsive,1,153.40,161.07,32.21,193.28,157.85,15.79,23.68,102.60,15.78,2.56,2026-03-31T11:09:00,2026-03-31T11:09:00,2026-04-28T11:09:00,2026-04-20T06:09:00,Completed,Met
