AppointmentReference,WorksOrderReference,PropertiesSK,EmployeesSK,PatchCode,AppointmentSlot,ScheduledAppointmentStart,ScheduledAppointmentEnd,AttendanceStartDateTime,AppointmentAttendedWithinSlot,AppointmentStatus,AppointmentSequence,StandardMinuteValue
AP9000487,WO700419,5176,1006,CSP2,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:08:00,Y,No Access,1,74
AP9000488,WO700419,5176,1006,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:20:00,Y,Completed,2,44
AP9000489,WO700420,5172,1008,CSP2,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:16:00,Y,No Access,1,105
AP9000490,WO700420,5172,1008,CSP2,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:52:00,N,Completed,2,68
AP9000491,WO700421,5174,1009,CSP2,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T07:54:00,N,Completed,1,34
AP9000492,WO700422,5115,1006,CSP2,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:05:00,Y,Completed,1,56
AP9000493,WO700423,5162,1006,CSP2,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:02:00,Y,Completed,1,52
AP9000494,WO700424,5162,1009,CSP2,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:20:00,Y,No Access,1,66
AP9000495,WO700424,5162,1009,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:02:00,Y,Completed,2,77
AP9000496,WO700425,5146,1009,CSP2,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:01:00,Y,Completed,1,99
AP9000497,WO700426,5144,1008,CSP2,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T11:59:00,N,Completed,1,59
AP9000498,WO700427,5196,1007,CSP2,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T07:59:00,N,Completed,1,52
AP9000499,WO700428,5132,1007,CSP2,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T07:57:00,N,Completed,1,54
AP9000500,WO700429,5198,1009,CSP2,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:04:00,Y,Completed,1,65
AP9000501,WO700430,5174,1007,CSP2,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T11:54:00,N,Completed,1,31
AP9000502,WO700431,5107,1007,CSP2,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T11:56:00,N,Completed,1,94
AP9000503,WO700433,5127,1007,CSP2,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T08:00:00,Y,No Access,1,104
AP9000504,WO700433,5127,1007,CSP2,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:58:00,N,Completed,2,63
AP9000505,WO700434,5135,1006,CSP2,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T08:06:00,Y,Completed,1,95
AP9000506,WO700435,5148,1009,CSP2,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T08:20:00,Y,Completed,1,46
AP9000507,WO700435,5148,1009,CSP2,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T07:53:00,N,Completed,2,71
AP9000508,WO700436,5113,1007,CSP2,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T07:59:00,N,Completed,1,20
AP9000509,WO700437,5161,1006,CSP2,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T08:09:00,Y,Completed,1,66
AP9000510,WO700437,5161,1006,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:07:00,Y,Completed,2,57
AP9000511,WO700438,5139,1007,CSP2,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:13:00,Y,Completed,1,148
AP9000512,WO700439,5133,1007,CSP2,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:11:00,Y,Completed,1,58
AP9000513,WO700439,5133,1007,CSP2,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:07:00,Y,Completed,2,76
AP9000514,WO700440,5133,1006,CSP2,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T07:57:00,N,Completed,1,93
AP9000515,WO700440,5133,1006,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:12:00,Y,Completed,2,99
AP9000516,WO700441,5284,1014,CSP4,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:01:00,Y,Completed,1,33
AP9000517,WO700442,5258,1013,CSP4,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:17:00,Y,Completed,1,79
AP9000518,WO700442,5258,1013,CSP4,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:08:00,Y,Completed,2,50
AP9000519,WO700443,5244,1014,CSP4,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:15:00,Y,Completed,1,43
AP9000520,WO700444,5284,1013,CSP4,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T08:14:00,Y,Completed,1,84
AP9000521,WO700444,5284,1013,CSP4,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:20:00,Y,Completed,2,95
AP9000522,WO700445,5247,1014,CSP4,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:02:00,Y,Completed,1,137
AP9000523,WO700446,5233,1014,CSP4,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:03:00,Y,Completed,1,80
AP9000524,WO700447,5204,1013,CSP4,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:01:00,Y,Completed,1,94
AP9000525,WO700448,5250,1011,CSP4,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T08:00:00,Y,Completed,1,127
AP9000526,WO700449,5204,1013,CSP4,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T07:52:00,N,Completed,1,48
AP9000527,WO700449,5204,1013,CSP4,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:14:00,Y,Completed,2,63
AP9000528,WO700450,5235,1013,CSP4,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T08:02:00,Y,No Access,1,83
AP9000529,WO700450,5235,1013,CSP4,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:59:00,N,Completed,2,83
AP9000530,WO700451,5296,1012,CSP4,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:04:00,Y,No Access,1,61
AP9000531,WO700451,5296,1012,CSP4,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:54:00,N,Completed,2,77
AP9000532,WO700452,5212,1011,CSP4,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T11:55:00,N,Completed,1,118
AP9000533,WO700453,5218,1013,CSP4,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:11:00,Y,Completed,1,109
AP9000534,WO700454,5202,1012,CSP4,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:20:00,Y,Completed,1,64
AP9000535,WO700455,5256,1011,CSP4,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:14:00,Y,Completed,1,66
AP9000536,WO700456,5255,1011,CSP4,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:08:00,Y,Completed,1,94
AP9000537,WO700457,5296,1014,CSP4,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T07:53:00,N,Completed,1,111
AP9000538,WO700458,5280,1011,CSP4,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T12:20:00,Y,Completed,1,65
AP9000539,WO700459,5203,1013,CSP4,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T07:54:00,N,Completed,1,84
AP9000540,WO700460,5220,1014,CSP4,AM,2026-03-30T08:00:00,2026-03-30T12:00:00,2026-03-30T08:19:00,Y,Completed,1,70
AP9000541,WO700461,5290,1013,CSP4,PM,2026-03-30T12:00:00,2026-03-30T16:00:00,2026-03-30T11:55:00,N,Completed,1,32
AP9000542,WO700461,5290,1013,CSP4,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:13:00,Y,Completed,2,125
AP9000543,WO700462,5261,1014,CSP4,All Day,2026-03-30T08:00:00,2026-03-30T16:00:00,2026-03-30T08:15:00,Y,Completed,1,72
AP9000544,WO700462,5261,1014,CSP4,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:18:00,Y,Completed,2,123
AP9000545,WO700463,5032,1001,CSP1,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:05:00,Y,Completed,1,97
AP9000546,WO700464,5086,1001,CSP1,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:06:00,Y,No Access,1,135
AP9000547,WO700464,5086,1001,CSP1,PM,2026-04-02T12:00:00,2026-04-02T16:00:00,2026-04-02T12:15:00,Y,Completed,2,52
AP9000548,WO700466,5086,1004,CSP1,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T12:04:00,Y,Completed,1,109
AP9000549,WO700467,5016,1004,CSP1,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T12:11:00,Y,Completed,1,67
AP9000550,WO700468,5020,1001,CSP1,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T12:19:00,Y,Completed,1,89
AP9000551,WO700469,5098,1001,CSP1,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:12:00,Y,Completed,1,66
AP9000552,WO700470,5041,1001,CSP1,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:19:00,Y,Completed,1,86
AP9000553,WO700471,5093,1003,CSP1,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:06:00,Y,Completed,1,81
AP9000554,WO700471,5093,1003,CSP1,AM,2026-04-02T08:00:00,2026-04-02T12:00:00,2026-04-02T08:05:00,Y,Completed,2,74
AP9000555,WO700472,5073,1002,CSP1,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T07:54:00,N,No Access,1,89
AP9000556,WO700472,5073,1002,CSP1,PM,2026-04-02T12:00:00,2026-04-02T16:00:00,2026-04-02T12:11:00,Y,Completed,2,81
AP9000557,WO700473,5071,1002,CSP1,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:03:00,Y,No Access,1,95
AP9000558,WO700473,5071,1002,CSP1,All Day,2026-04-02T08:00:00,2026-04-02T16:00:00,2026-04-02T08:12:00,Y,Completed,2,78
AP9000559,WO700474,5100,1002,CSP1,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T12:06:00,Y,No Access,1,88
AP9000560,WO700474,5100,1002,CSP1,PM,2026-04-02T12:00:00,2026-04-02T16:00:00,2026-04-02T11:55:00,N,Completed,2,38
AP9000561,WO700475,5042,1002,CSP1,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T07:56:00,N,Completed,1,58
AP9000562,WO700475,5042,1002,CSP1,AM,2026-04-02T08:00:00,2026-04-02T12:00:00,2026-04-02T08:06:00,Y,Completed,2,58
AP9000563,WO700477,5017,1002,CSP1,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T07:50:00,N,Completed,1,62
AP9000564,WO700478,5050,1004,CSP1,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:01:00,Y,Completed,1,65
AP9000565,WO700479,5002,1003,CSP1,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:01:00,Y,Completed,1,98
AP9000566,WO700481,5010,1002,CSP1,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T07:55:00,N,Completed,1,31
AP9000567,WO700482,5025,1004,CSP1,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:12:00,Y,Completed,1,35
AP9000568,WO700483,5096,1002,CSP1,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T07:59:00,N,Completed,1,39
AP9000569,WO700484,5022,1004,CSP1,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:12:00,Y,Completed,1,95
AP9000570,WO700485,5146,1008,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T07:54:00,N,Completed,1,36
AP9000571,WO700486,5142,1009,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:06:00,Y,Completed,1,71
AP9000572,WO700487,5158,1006,CSP2,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:04:00,Y,Completed,1,80
AP9000573,WO700488,5139,1007,CSP2,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T12:09:00,Y,Completed,1,20
AP9000574,WO700489,5136,1007,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:02:00,Y,Completed,1,75
AP9000575,WO700490,5118,1006,CSP2,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T11:53:00,N,Completed,1,81
AP9000576,WO700491,5173,1007,CSP2,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:11:00,Y,Completed,1,84
AP9000577,WO700492,5174,1007,CSP2,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T07:52:00,N,Completed,1,103
AP9000578,WO700493,5143,1009,CSP2,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:14:00,Y,No Access,1,68
AP9000579,WO700493,5143,1009,CSP2,PM,2026-04-02T12:00:00,2026-04-02T16:00:00,2026-04-02T12:07:00,Y,Completed,2,102
AP9000580,WO700494,5178,1008,CSP2,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T12:14:00,Y,Completed,1,41
AP9000581,WO700495,5120,1007,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:20:00,Y,Completed,1,82
AP9000582,WO700496,5197,1007,CSP2,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:06:00,Y,Completed,1,112
AP9000583,WO700497,5196,1006,CSP2,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T07:59:00,N,Completed,1,74
AP9000584,WO700498,5118,1007,CSP2,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:16:00,Y,Completed,1,89
AP9000585,WO700499,5168,1007,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:13:00,Y,Completed,1,99
AP9000586,WO700500,5186,1008,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:01:00,Y,Completed,1,68
AP9000587,WO700501,5122,1009,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:16:00,Y,Completed,1,110
AP9000588,WO700502,5130,1007,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:17:00,Y,Completed,1,48
AP9000589,WO700503,5119,1006,CSP2,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T12:02:00,Y,Completed,1,63
AP9000590,WO700504,5195,1007,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:05:00,Y,Completed,1,48
AP9000591,WO700505,5189,1007,CSP2,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:20:00,Y,Completed,1,70
AP9000592,WO700506,5190,1007,CSP2,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:18:00,Y,Completed,1,87
AP9000593,WO700507,5285,1012,CSP4,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T11:55:00,N,Completed,1,68
AP9000594,WO700508,5291,1014,CSP4,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:08:00,Y,No Access,1,79
AP9000595,WO700508,5291,1014,CSP4,All Day,2026-04-02T08:00:00,2026-04-02T16:00:00,2026-04-02T08:05:00,Y,Completed,2,61
AP9000596,WO700509,5259,1013,CSP4,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T11:51:00,N,Completed,1,54
AP9000597,WO700510,5296,1013,CSP4,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T07:52:00,N,Completed,1,92
AP9000598,WO700512,5272,1013,CSP4,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:03:00,Y,Completed,1,20
AP9000599,WO700513,5287,1013,CSP4,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T07:52:00,N,Completed,1,78
AP9000600,WO700513,5287,1013,CSP4,PM,2026-04-02T12:00:00,2026-04-02T16:00:00,2026-04-02T12:03:00,Y,Completed,2,37
AP9000601,WO700514,5270,1011,CSP4,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:13:00,Y,Completed,1,23
AP9000602,WO700515,5289,1014,CSP4,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:05:00,Y,Completed,1,125
AP9000603,WO700516,5209,1012,CSP4,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T08:05:00,Y,Completed,1,90
AP9000604,WO700517,5298,1012,CSP4,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T11:55:00,N,Completed,1,31
AP9000605,WO700518,5282,1011,CSP4,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:17:00,Y,Completed,1,68
AP9000606,WO700519,5235,1011,CSP4,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T07:59:00,N,Completed,1,65
AP9000607,WO700520,5265,1012,CSP4,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T07:57:00,N,Completed,1,75
AP9000608,WO700521,5205,1014,CSP4,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T12:07:00,Y,Completed,1,48
AP9000609,WO700521,5205,1014,CSP4,All Day,2026-04-02T08:00:00,2026-04-02T16:00:00,2026-04-02T08:04:00,Y,Completed,2,48
AP9000610,WO700522,5226,1012,CSP4,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T07:55:00,N,Completed,1,93
AP9000611,WO700523,5259,1014,CSP4,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T07:52:00,N,Completed,1,96
AP9000612,WO700524,5279,1014,CSP4,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:02:00,Y,Completed,1,20
AP9000613,WO700525,5206,1011,CSP4,PM,2026-03-31T12:00:00,2026-03-31T16:00:00,2026-03-31T12:20:00,Y,Completed,1,57
AP9000614,WO700526,5207,1014,CSP4,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:07:00,Y,Completed,1,102
AP9000615,WO700527,5238,1012,CSP4,All Day,2026-03-31T08:00:00,2026-03-31T16:00:00,2026-03-31T08:19:00,Y,Completed,1,84
AP9000616,WO700528,5215,1013,CSP4,AM,2026-03-31T08:00:00,2026-03-31T12:00:00,2026-03-31T07:53:00,N,Completed,1,109
AP9000617,WO700529,5004,1004,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:59:00,N,Completed,1,98
AP9000618,WO700530,5084,1003,CSP1,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:57:00,N,Completed,1,132
AP9000619,WO700531,5091,1001,CSP1,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:53:00,N,Completed,1,55
AP9000620,WO700532,5099,1003,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:15:00,Y,Completed,1,63
AP9000621,WO700533,5099,1003,CSP1,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:10:00,Y,Completed,1,20
AP9000622,WO700534,5026,1001,CSP1,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:54:00,N,Completed,1,90
AP9000623,WO700535,5078,1004,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:59:00,N,Completed,1,61
AP9000624,WO700537,5019,1004,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:08:00,Y,Completed,1,109
AP9000625,WO700538,5012,1004,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:18:00,Y,Completed,1,99
AP9000626,WO700539,5077,1003,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:12:00,Y,Completed,1,65
AP9000627,WO700540,5042,1003,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:51:00,N,Completed,1,55
AP9000628,WO700540,5042,1003,CSP1,All Day,2026-04-03T08:00:00,2026-04-03T16:00:00,2026-04-03T07:57:00,N,Completed,2,87
AP9000629,WO700541,5016,1001,CSP1,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:13:00,Y,Completed,1,59
AP9000630,WO700542,5094,1002,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:04:00,Y,Completed,1,88
AP9000631,WO700543,5055,1003,CSP1,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:08:00,Y,Completed,1,69
AP9000632,WO700544,5067,1003,CSP1,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:04:00,Y,Completed,1,58
AP9000633,WO700545,5016,1002,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:01:00,Y,Completed,1,98
AP9000634,WO700546,5043,1002,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:59:00,N,Completed,1,94
AP9000635,WO700547,5009,1001,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:09:00,Y,Completed,1,67
AP9000636,WO700548,5073,1003,CSP1,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:02:00,Y,No Access,1,104
AP9000637,WO700548,5073,1003,CSP1,PM,2026-04-03T12:00:00,2026-04-03T16:00:00,2026-04-03T12:19:00,Y,Completed,2,67
AP9000638,WO700549,5005,1003,CSP1,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:17:00,Y,Completed,1,110
AP9000639,WO700550,5096,1003,CSP1,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T07:57:00,N,Completed,1,63
AP9000640,WO700550,5096,1003,CSP1,PM,2026-04-03T12:00:00,2026-04-03T16:00:00,2026-04-03T12:09:00,Y,Completed,2,32
AP9000641,WO700551,5188,1007,CSP2,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T07:57:00,N,Completed,1,105
AP9000642,WO700552,5144,1009,CSP2,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:57:00,N,Completed,1,22
AP9000643,WO700553,5197,1008,CSP2,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:58:00,N,Completed,1,116
AP9000644,WO700554,5148,1007,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:57:00,N,No Access,1,79
AP9000645,WO700554,5148,1007,CSP2,AM,2026-04-03T08:00:00,2026-04-03T12:00:00,2026-04-03T08:08:00,Y,Completed,2,62
AP9000646,WO700555,5200,1009,CSP2,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:19:00,Y,Completed,1,98
AP9000647,WO700556,5144,1008,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:57:00,N,Completed,1,110
AP9000648,WO700558,5106,1009,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:51:00,N,Completed,1,129
AP9000649,WO700558,5106,1009,CSP2,AM,2026-04-03T08:00:00,2026-04-03T12:00:00,2026-04-03T07:53:00,N,Completed,2,102
AP9000650,WO700559,5174,1008,CSP2,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:01:00,Y,Completed,1,42
AP9000651,WO700560,5157,1009,CSP2,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T12:00:00,Y,Completed,1,42
AP9000652,WO700561,5127,1007,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:57:00,N,No Access,1,80
AP9000653,WO700561,5127,1007,CSP2,AM,2026-04-03T08:00:00,2026-04-03T12:00:00,2026-04-03T07:51:00,N,Completed,2,64
AP9000654,WO700562,5122,1009,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:54:00,N,No Access,1,105
AP9000655,WO700562,5122,1009,CSP2,All Day,2026-04-03T08:00:00,2026-04-03T16:00:00,2026-04-03T08:09:00,Y,Completed,2,76
AP9000656,WO700563,5187,1008,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:54:00,N,Completed,1,83
AP9000657,WO700564,5181,1007,CSP2,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:17:00,Y,Completed,1,27
AP9000658,WO700565,5197,1009,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:00:00,Y,No Access,1,86
AP9000659,WO700565,5197,1009,CSP2,All Day,2026-04-03T08:00:00,2026-04-03T16:00:00,2026-04-03T08:00:00,Y,Completed,2,41
AP9000660,WO700566,5191,1009,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:19:00,Y,Completed,1,40
AP9000661,WO700566,5191,1009,CSP2,All Day,2026-04-03T08:00:00,2026-04-03T16:00:00,2026-04-03T07:56:00,N,Completed,2,93
AP9000662,WO700567,5151,1008,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:58:00,N,Completed,1,68
AP9000663,WO700568,5145,1009,CSP2,PM,2026-04-01T12:00:00,2026-04-01T16:00:00,2026-04-01T11:57:00,N,Completed,1,90
AP9000664,WO700569,5192,1008,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:18:00,Y,Completed,1,84
AP9000665,WO700570,5180,1007,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:16:00,Y,Completed,1,26
AP9000666,WO700571,5156,1006,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:56:00,N,Completed,1,106
AP9000667,WO700572,5192,1008,CSP2,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T07:58:00,N,Completed,1,44
AP9000668,WO700573,5252,1012,CSP4,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:04:00,Y,Completed,1,95
AP9000669,WO700575,5219,1014,CSP4,All Day,2026-04-01T08:00:00,2026-04-01T16:00:00,2026-04-01T08:13:00,Y,Completed,1,59
AP9000670,WO700576,5241,1011,CSP4,AM,2026-04-01T08:00:00,2026-04-01T12:00:00,2026-04-01T08:07:00,Y,Completed,1,32
